단어,감정,token
겁나다,공포,겁나
불안하다,공포,불안
살벌하다,공포,살벌
새파래지다,공포,새파랗
섬뜩하다,공포,섬뜩
소름끼치다,공포,소름
스산하다,공포,스산
아슬아슬하다,공포,아슬아슬
아찔하다,공포,아찔
안절부절하다,공포,안절부절
오싹하다,공포,오싹
겁쟁이,공포,겁쟁이
와들와들,공포,와들와들
으스스하다,공포,으스스
을씨년스럽다,공포,을씨년스럽
잔인하다,공포,잔인
잔혹하다,공포,잔혹
조마조마하다,공포,조마조마
초조하다,공포,초조
공포감,공포,공포감
긴박하다,공포,긴박
긴장되다,공포,긴장
두렵다,공포,두렵
무섭다,공포,무섭
무시무시하다,공포,무시무시
불안정하다,공포,불안정
가뿐하다,기쁨,가뿐
경쾌하다,기쁨,경쾌하
고맙다,기쁨,고맙
근사하다,기쁨,근사하
기분 좋다,기쁨,기분
기쁘다,기쁨,기쁘
까르르,기쁨,까르르
깔깔깔깔,기쁨,깔깔깔깔
껄껄껄,기쁨,껄껄
끼득끼득,기쁨,끼득끼득
낄낄낄,기쁨,낄낄낄
감개무량하다,기쁨,감개무량
낭만적,기쁨,낭만
달갑다,기쁨,달갑
대견하다,기쁨,대견
두근거리다,기쁨,두근거리
따뜻하다,기쁨,따뜻하
따스하다,기쁨,따스
만족하다,기쁨,만족
반갑다,기쁨,반갑
방그레,기쁨,방그레
방글방글,기쁨,방글방글
감격하다,기쁨,감격
방긋,기쁨,방긋
보기 좋다,기쁨,보
빙그레,기쁨,빙그레
뿌듯하다,기쁨,뿌듯하
사랑스럽다,기쁨,사랑
상쾌하다,기쁨,상쾌하
상큼하다,기쁨,상큼하
설레다,기쁨,설레
속 시원하다,기쁨,시원하
신나다,기쁨,신나
감동하다,기쁨,감동
신명나다,기쁨,신명
신바람 나다,기쁨,신바람
싱글벙글하다,기쁨,싱글벙글
쌩끗,기쁨,쌩끗
씰룩거리다,기쁨,씰룩거리
아하하,기쁨,아하하
어여쁘다,기쁨,어여쁘
얼씨구,기쁨,얼씨구
예쁘다,기쁨,예쁘
우아하다,기쁨,우아하
감미롭다,기쁨,감미
웃다,기쁨,웃
웃어넘기다,기쁨,웃어넘기
원더풀,기쁨,원더풀
유쾌하다,기쁨,유쾌
으쓱하다,기쁨,으쓱
으하하하,기쁨,으하하하
이힛힛힛,기쁨,이힛힛힛
자부하다,기쁨,자부
재미있다,기쁨,재미있
좋다,기쁨,좋
감복하다,기쁨,감복
즐겁다,기쁨,즐겁
천만다행이다,기쁨,천만다행
친근하다,기쁨,친근하
친숙하다,기쁨,친숙
카핫핫핫,기쁨,카핫핫핫
콩닥거리다,기쁨,콩닥거리
쾌적하다,기쁨,쾌적하
킬킬거리다,기쁨,킬킬거리
통쾌하다,기쁨,통쾌
편안하다,기쁨,편안
감사하다,기쁨,감사
하하,기쁨,하하
함박웃음,기쁨,함박웃음
행복하다,기쁨,행복
허허,기쁨,허허
후련하다,기쁨,후련
후후,기쁨,후후
훌륭하다,기쁨,훌륭하
흐뭇하다,기쁨,흐뭇
흐흐,기쁨,흐흐
흡족하다,기쁨,흡족
감회,기쁨,감회
흥겹다,기쁨,흥겹
희희낙락하다,기쁨,희희낙락
히죽거리다,기쁨,히죽거리
히히,기쁨,히히
감흥,기쁨,감흥
겸연쩍다,기타,겸연쩍
노파심,기타,노파심
머쓱하다,기타,머쓱
멋쩍다,기타,멋쩍
무안하다,기타,무안
쭈뼛거리다,기타,쭈뼛거리
갑작스럽다,놀람,갑작스럽
기절초풍하다,놀람,기절초풍
기절하다,놀람,기절
까무러치다,놀람,까무러치
깜짝,놀람,깜짝
놀랍다,놀람,놀랍
당혹하다,놀람,당혹
당황하다,놀람,당황
뜨금하다,놀람,뜨금
뜨악하다,놀람,뜨악
만만찮다,놀람,만만찮
경악하다,놀람,경악
쇼킹하다,놀람,쇼킹하
아뿔싸,놀람,아뿔싸
아연실색하다,놀람,아연실색
아이쿠,놀람,아이쿠
아차,놀람,아차
앗,놀람,앗
어리둥절하다,놀람,어리둥절
얼떨떨하다,놀람,얼떨떨
움찔하다,놀람,움찔
으악,놀람,으악
경이롭다,놀람,경이
이상하다,놀람,이상
철렁하다,놀람,철렁
충격적,놀람,충격
헉,놀람,헉
휘둥그레지다,놀람,휘둥그레지
흠칫하다,놀람,흠칫
급작스럽다,놀람,급작스럽
기겁하다,놀람,기겁
기막히다,놀람,기막히
기묘하다,놀람,기묘
기상천외,놀람,기상천외
기이하다,놀람,기이하
갈기갈기,분노,갈기갈기
괘씸하다,분노,괘씸
굴욕감,분노,굴욕감
그년,분노,그년
그놈,분노,그놈
그자식,분노,그자식
기분 나쁘다,분노,기분
기집년,분노,기집
나쁘다,분노,나쁘
네년,분노,네년
네놈,분노,네놈
개새끼,분노,개새끼
노여워하다,분노,노여워하
니미,분노,니미
멸시당하다,분노,멸시
모멸감,분노,모멸감
모욕적,분노,모욕
못되다,분노,못되
무시당하다,분노,무시
미친개,분노,미친개
밉다,분노,밉
발칙하다,분노,발칙하
개쌍년,분노,개쌍년
버럭,분노,버럭
복수심,분노,복수심
분개하다,분노,분개
분노하다,분노,분노
분통터지다,분노,분통
분하다,분노,분하
불만스럽다,분노,불만
불만족하다,분노,불만족
불유쾌하다,분노,불유쾌
비딱하다,분노,비딱하
개자식,분노,개자식
비아냥거리다,분노,비아냥거리
빌어먹을,분노,빌어먹을
뾰루퉁하다,분노,뾰루퉁
삐치다,분노,삐치
속썩이다,분노,속썩
신경질적,분노,신경질
심술궂다,분노,심술궂
심통,분노,심통
싸가지,분노,싸가지
